LANGUAGE,English,German

STR_WELCOME, "Welcome to Nogova Crimes", "Willkommen zu Nogova Crimes"
STR_PARAM_TIME, "Start at Daytime", "Tageszeit"
STR_PARAM_TIME1, "Dawn", "Morgendämmerung"
STR_PARAM_TIME2, "Morning", "Morgen"
STR_PARAM_TIME3, "Noon", "Mittag"
STR_PARAM_TIME4, "Afternoon", "Nachmittag"
STR_PARAM_TIME5, "Dusk", "Abenddämmerung"
STR_PARAM_TIME6, "Midnight", "Mitternacht"
STR_PARAM_WINLIMIT, "Win Limit", "Missionsziel"
STR_BRIEFING_NAME, "Nogova Crimes", "Nogova Crimes"
STR_BRIEFING_DESCRIPTION, "Cops & two rival groups of gangsters", "Cops & zwei rivalisierende Gangster-Gruppen"

str_cr_fly, "can't hurt a fly", "kann keiner Fliege was zu leide tun"
str_cr_inno, "is nearly innocent.", "ist nahezu unschuldig"
str_cr_notbad, "is not really a bad guy", "ist kein schlechter Kerl"
str_cr_gum, "stole a chewing gum!", "hat ein Kaugummi gestohlen"
str_cr_hiphop, "wrote a hiphop song!", "hat nen Hiphop-song geschrieben"
str_cr_smoke, "secretly smoked a joint...", "hat heimlich nen Joint geraucht"
str_cr_fish, "is a little fish... Take him into custody", "ist ein kleiner Fisch... Wir sollten ihn verhören"
str_cr_slap, "slapped his mother! Take him into custody", "hat seine Mutter geschlagen... Wir sollten ihn verhören"
str_cr_cat, "killed a cat once! Should be detained", "hat mal ne Katze getötet! Sollte inhaftiert werden!"
str_cr_wannabe, "is a wannabe mobster! Should be detained", "ist ein Möchtegern-Ganove. Sollte inhaftiert werden!"
str_cr_dog, "is a real mad dog! Arrest him.", "ist ein durchgeknallter Hund! Verhaften!"
str_cr_thug, "is a mean thug! Arrest him.", "ist ein gemeiner Schläger! Verhaften!"
str_cr_crime, "did some serious crime! Arrest him!", "hat schwere Verbrechen begangen. Sofort verhaften!"
str_cr_dirty, "is down and dirty! Arrest him!", "ist richtig skrupellos. Sofort verhaften!"
str_cr_chief, "made himself a gangchief. Arrest him!", "ist ein selbsternannter Gangsterboss. Sofort verhaften!"
str_cr_danger, "is a danger to society! Arrest him forever!", "ist eine Gefahr für die Gesellschaft! Sperrt ihn lebenslänglich ein!"
str_cr_godfather, "became a godfather! Send him to a prison planet far far away!", "wurde zum Gangsterboss ernannt! Steckt ihn ins Gefängnis auf einem entfernten Planeten!"
STR_CR_WITHCR, "%1 %2\nwith a crimerate of %3", "%1 %2\nmit einer Crimerate von %3"


str_money_paid, "You paid %1$", "Du hast %1$ bezahlt"
str_money_robbed, "You robbed %1$", "Du hast %1$ erbeutet"
str_money_carsold, "You received %1$", "Du hast %1$ erhalten"
str_money_drugssold, "You sold %1 packages\nand earned %2$", "Du hast %1 packs verkauft\n und %2$ erhalten"
str_money_Banknomoney, "Sorry, there is no money anymore...", "Sorry, das Geld ist schon weg...
str_money_drop, "You dropped 500$", "Du hast 500$ abgelegt.
str_money_notenough, "You don't have enough money for that!", "Dein Geld reicht nicht dafür!
str_money_payperbank, "I pay from the teamaccount".", "Ich zahl das vom Teamkonto."
str_money_deposit, "%1$ paid on your team account", "Du hast %1$ auf das Teamkonto eingezahlt."
str_money_withdraw, "You withdraw %1 $ from your team account!", "Du hast %1$ vom Teamkonto abgehoben."
str_money_emptyaccount, "Not enough money on the account!", "Nicht genug Geld auf dem Konto"
str_money_reward, "Reward: %1$", "Prämie: %1$"
str_money_coprec, "you need %1$", "Du benötigst %1$"
str_money_medis, "You robbed %1 packs of medicines.", "Du hast %1 Medikamente erbeutet."


str_money_penaltyB, "Bikers just lost %1$ !", "Die Biker verlieren %1$ !"
str_money_penaltyC, "Cops just lost %1$ !", "Die Cops verlieren %1$ !"
str_money_penaltyM, "Mafia just lost %1$ !", "Die Mafiosi verlieren %1$ !"


str_cop_deny, "You are here to protect and to serve.", "Du bist hier um das Gesetz zu schützen!"
str_cop_copkill, "Killing cops won't work for you.", "Cops töten solltest Du sein lassen!"
str_cop_chs, "At this value of Crimehighscore this is not available yet", "Bei dem derzeitigen Crimehighscore ist dies noch nicht verfügbar."
str_cop_civkill1, "You killed a civilian!\nBe Careful!, "Du hast einen Zivilisten getötet!\nSei vorsichtig!"
str_cop_civkill2, "You killed a civilian!\nYou are questioned at the PD\nyou killed %1 civilians", "Du hast einen Zivilisten getötet!\nDu wirst im PD verhört.\nDu hast %1 Zivilisten getötet." 
str_cop_civkill3, "You killed a civilian!\nIs it gettin a habit?\nyou killed %1 civilians", "Du hast einen Zivilisten getötet!\nWird das nun zur Angewohnheit?\nDu hast %1 Zivilisten getötet." 
str_cop_civkill4, "You killed a civilian!\nSo now you´re in jail.\nyou killed %1 civilians", "Du hast einen Zivilisten getötet!\nJetzt sitzt Du dafür im Knast.\nDu hast %1 Zivilisten getötet." 
str_cop_civkill5, "stupid you...\nWhat do you think a cop should do?\nyou killed %1 civilians", "tja ziemlich dumm...\nWas glaubst Du was die Cops tun sollten?\nDu hast %1 Zivilisten getötet." 


str_tct_Gangster_injail, "While in jail you plan the next Coup ... %1", "Im Gefängnis planst Du schon den nächsten Coup ... %1"


str_self_feigned, "Get up first!", "Du musst zuerst aufstehen!"
str_self_incar, "Get out of the vehicle first!", "Erstmal aussteigen!"
str_self_bankclosed, "A bank has been robbed some minutes ago. The system was shut down. Come back later!", "Ein Bankraub ist nur wenige Minuten her. Das System ist geschlossen. Komm später wieder."
str_self_hascan, "You already have a canister...", "Du hast schon einen Kanister"
str_self_haskit, "You already have a repairkit...", "Du hast schon ein Reparaturkit"
str_self_hasnokit, "you have no repairkit", "Du hast kein Reparaturkit"
str_self_kitnouse, "no use to repair", "Nichts zu reparieren."
str_self_kitnotenough, "Cannot repair this damage. Get a Repair-Truck", "Der Schaden ist zu groß. Besorg einen Reparaturtruck"
str_self_notaxi, "not your taxi", "nicht dein Taxi"


str_self_c_group, "You cannot have more than 5 men", "Du kannst nicht mehr als 5 Mann haben."
str_self_c_Razziano, "The last razzia has been done minutes ago... Come back later.", "Die letzte Razzia ist noch nicht lange her. Komm später wieder." 
str_self_c_Razziayes, "You did a razzia. This building won't make money for 5 min.", "Du veranstaltest eine Razzia hier. Dieses Gebäude wird den Gangstern für 5 min kein Geld einbringen."
str_self_c_nobm, "This shop is not getting blackmailed.", "Dieser Shop wird nicht erpresst."
str_self_c_shopdead, "He's dead, Jim.", "Er ist tot, Jim."
str_self_c_swat, "Swat member alive.", "Swat Mitglied lebt noch."
str_self_c_carsec, "Car seized.", "Auto sichergestellt."


str_self_g_nocar, "no worthy car near", "kein wertvolles Auto in der Nähe"
str_self_g_noweap, "I need a weapon to do this!", "Ich brauche eine Waffe dazu!"
str_self_g_crimerank, "Crimerank %1 reached", "Crimerank %1 erreicht"
str_self_g_gunfree, "Because of your Crimerank, you get this for free.", "Aufgrund deines Crimeranks bekommst Du dies umsonst"
str_self_g_havenodrugs, "Get your dirty fingers off me! You wont find any drugs!", "Lass die Finger von mir! Du wirst keine Drogen finden!"
str_self_g_havedrugs, "Shit, that cop took my %1 packages of weed!", "Verdammt, der Cop hat meine %! Droganpacks gefunden!"
str_self_g_crcheck, "Shit, that cop checks my identity.", "Verdammt, der Cop überprüft meine ID"
str_self_g_injailnow, "%1 is in jail now.", "%1 ist jetzt im Gefängnis."
str_self_g_deadvictim, "No money from dead men...", "Tote geben kein Geld..."
str_self_g_outofjail, "You are free now... get back to life!", "Du hast deine Strafe abgesessen... Nun kehr ins Leben zurück!"
str_self_g_jaildeeds, "Think about your deeds ... %1", "Denk über all deine Straftaten nach ... %1"
str_self_g_killed_ck, "You killed a cop once... that will never be forgotten!", "Du hast einen Polizisten erschossen... Das wird niemals vergessen!"
str_self_g_killed_cr, "Your reputation is bad enough and every cop knows your face!", "Dein Ruf ist sehr schlecht und jeder Cop kennt Dein Gesicht!"
str_self_g_killed_ca, "You have to get out of a vehicle, if a cop orders you to do it. Otherwise you are suspected to want to hit a cop with your car.", "Du musst aus dem Fahrzeug aussteigen, wenn ein Cop es Dir befiehlt. Andernfalls stehst Du im Verdacht ihn überfahren zu wollen."
